Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Transmembrane
O14649,reviewed,KCNK3_HUMAN,Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1),KCNK3 TASK TASK1,Homo sapiens (Human),394,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 159..179; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 223..243; /note=""Helical""; /evidence=""ECO:0000255"""
O14653,reviewed,GOSR2_HUMAN,Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin),GOSR2 GS27,Homo sapiens (Human),212,"TRANSMEM 191..211; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
O14662,reviewed,STX16_HUMAN,Syntaxin-16 (Syn16),STX16,Homo sapiens (Human),325,"TRANSMEM 302..322; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
O14669,reviewed,TMG2_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 2 (Proline-rich gamma-carboxyglutamic acid protein 2) (Proline-rich Gla protein 2),PRRG2 PRGP2 TMG2,Homo sapiens (Human),202,"TRANSMEM 110..130; /note=""Helical""; /evidence=""ECO:0000255"""
O14672,reviewed,ADA10_HUMAN,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),ADAM10 KUZ MADM,Homo sapiens (Human),748,"TRANSMEM 673..693; /note=""Helical""; /evidence=""ECO:0000255"""
O14678,reviewed,ABCD4_HUMAN,Lysosomal cobalamin transporter ABCD4 (EC 7.6.2.8) (ATP-binding cassette sub-family D member 4) (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69),ABCD4 PXMP1L,Homo sapiens (Human),606,"TRANSMEM 43..63; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 76..96; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 190..210; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 279..299; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 314..334; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
O14681,reviewed,EI24_HUMAN,Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein),EI24 PIG8,Homo sapiens (Human),340,"TRANSMEM 77..97; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 117..137; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 238..255; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 257..277; /note=""Helical""; /evidence=""ECO:0000255"""
O14684,reviewed,PTGES_HUMAN,Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein),PTGES MGST1L1 MPGES1 PGES PIG12,Homo sapiens (Human),152,"TRANSMEM 13..41; /note=""Helical""; /evidence=""ECO:0000305|PubMed:23431194""; TRANSMEM 61..90; /note=""Helical""; /evidence=""ECO:0000305|PubMed:23431194""; TRANSMEM 96..119; /note=""Helical""; /evidence=""ECO:0000305|PubMed:23431194""; TRANSMEM 124..152; /note=""Helical""; /evidence=""ECO:0000305|PubMed:23431194"""
O14735,reviewed,CDIPT_HUMAN,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),CDIPT PIS PIS1,Homo sapiens (Human),213,"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 28..48; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 74..94; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 96..116; /note=""Helical""; /evidence=""ECO:0000305""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical""; /evidence=""ECO:0000255"""
O14763,reviewed,TR10B_HUMAN,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186,Homo sapiens (Human),440,"TRANSMEM 211..231; /note=""Helical""; /evidence=""ECO:0000255"""
O14764,reviewed,GBRD_HUMAN,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta),GABRD,Homo sapiens (Human),452,"TRANSMEM 252..271; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 276..298; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 309..331; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7""; TRANSMEM 427..449; /note=""Helical""; /evidence=""ECO:0000269|PubMed:35355020, ECO:0007744|PDB:7QN7"""
O14786,reviewed,NRP1_HUMAN,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R,Homo sapiens (Human),923,"TRANSMEM 857..879; /note=""Helical""; /evidence=""ECO:0000255"""
O14788,reviewed,TNF11_HUMAN,"Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]",TNFSF11 OPGL RANKL TRANCE,Homo sapiens (Human),317,"TRANSMEM 48..68; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
O14804,reviewed,TAAR5_HUMAN,Trace amine-associated receptor 5 (TaR-5) (Trace amine receptor 5) (hTaar5) (Putative neurotransmitter receptor),TAAR5 PNR,Homo sapiens (Human),337,"TRANSMEM 35..55; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 110..130; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 155..175; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 205..225; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 254..274; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 285..307; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
O14817,reviewed,TSN4_HUMAN,Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7),TSPAN4 NAG2 TM4SF7,Homo sapiens (Human),238,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 86..106; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 202..222; /note=""Helical""; /evidence=""ECO:0000255"""
O14828,reviewed,SCAM3_HUMAN,Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3),SCAMP3 C1orf3 PROPIN1,Homo sapiens (Human),347,"TRANSMEM 171..191; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 197..217; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 247..267; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 277..297; /note=""Helical""; /evidence=""ECO:0000255"""
O14836,reviewed,TR13B_HUMAN,Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267),TNFRSF13B TACI,Homo sapiens (Human),293,"TRANSMEM 166..186; /note=""Helical; Signal-anchor for type III membrane protein""; /evidence=""ECO:0000255"""
O14842,reviewed,FFAR1_HUMAN,Free fatty acid receptor 1 (G-protein coupled receptor 40),FFAR1 GPR40,Homo sapiens (Human),300,"TRANSMEM 9..31; /note=""Helical; Name=1""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 42..64; /note=""Helical; Name=2""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 80..101; /note=""Helical; Name=3""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 122..142; /note=""Helical; Name=4""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 179..200; /note=""Helical; Name=5""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 224..248; /note=""Helical; Name=6""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059""; TRANSMEM 257..279; /note=""Helical; Name=7""; /evidence=""ECO:0000255, ECO:0000269|PubMed:25043059"""
O14843,reviewed,FFAR3_HUMAN,Free fatty acid receptor 3 (G-protein coupled receptor 41),FFAR3 GPR41,Homo sapiens (Human),346,"TRANSMEM 20..40; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 48..68; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 89..111; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 133..153; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 223..243; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 259..279; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
O14863,reviewed,ZNT4_HUMAN,Probable proton-coupled zinc antiporter SLC30A4 (Solute carrier family 30 member 4) (Zinc transporter 4) (ZnT-4),SLC30A4 ZNT4,Homo sapiens (Human),429,"TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 144..164; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 217..237; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 275..295; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 311..331; /note=""Helical""; /evidence=""ECO:0000255"""
O14880,reviewed,MGST3_HUMAN,"Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",MGST3,Homo sapiens (Human),152,"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 71..91; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255"""
O14894,reviewed,T4S5_HUMAN,Transmembrane 4 L6 family member 5 (Tetraspan transmembrane protein L6H),TM4SF5,Homo sapiens (Human),197,"TRANSMEM 10..30; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 47..67; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 91..111; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255"""
O14917,reviewed,PCD17_HUMAN,Protocadherin-17 (Protocadherin-68),PCDH17 PCDH68 PCH68,Homo sapiens (Human),1159,"TRANSMEM 708..728; /note=""Helical""; /evidence=""ECO:0000255"""
O14925,reviewed,TIM23_HUMAN,Mitochondrial import inner membrane translocase subunit Tim23,TIMM23 TIM23,Homo sapiens (Human),209,"TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 125..145; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 181..197; /note=""Helical""; /evidence=""ECO:0000255"""
O14931,reviewed,NCTR3_HUMAN,Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),NCR3 1C7 LY117,Homo sapiens (Human),201,"TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000255"""
O14944,reviewed,EREG_HUMAN,Proepiregulin [Cleaved into: Epiregulin (EPR)],EREG,Homo sapiens (Human),169,"TRANSMEM 120..140; /note=""Helical""; /evidence=""ECO:0000255"""
O14949,reviewed,QCR8_HUMAN,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Homo sapiens (Human),82,"TRANSMEM 40..68; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28844695"""
O14967,reviewed,CLGN_HUMAN,Calmegin,CLGN,Homo sapiens (Human),610,"TRANSMEM 472..492; /note=""Helical""; /evidence=""ECO:0000255"""
O14975,reviewed,S27A2_HUMAN,"Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)",SLC27A2 ACSVL1 FACVL1 FATP2 VLACS,Homo sapiens (Human),620,"TRANSMEM 5..27; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 107..127; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 262..282; /note=""Helical""; /evidence=""ECO:0000255"""
O14983,reviewed,AT2A1_HUMAN,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A1,Homo sapiens (Human),1001,"TRANSMEM 49..69; /note=""Helical; Name=1""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 90..110; /note=""Helical; Name=2""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 254..273; /note=""Helical; Name=3""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 296..313; /note=""Helical; Name=4""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 758..777; /note=""Helical; Name=5""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 788..808; /note=""Helical; Name=6""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 829..851; /note=""Helical; Name=7""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 898..917; /note=""Helical; Name=8""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 931..949; /note=""Helical; Name=9""; /evidence=""ECO:0000250|UniProtKB:P04191""; TRANSMEM 965..985; /note=""Helical; Name=10""; /evidence=""ECO:0000250|UniProtKB:P04191"""
O15031,reviewed,PLXB2_HUMAN,Plexin-B2 (MM1),PLXNB2 KIAA0315,Homo sapiens (Human),1838,"TRANSMEM 1198..1218; /note=""Helical""; /evidence=""ECO:0000255"""
O15079,reviewed,SNPH_HUMAN,Syntaphilin,SNPH KIAA0374,Homo sapiens (Human),494,"TRANSMEM 425..444; /note=""Helical""; /evidence=""ECO:0000255"""
O15118,reviewed,NPC1_HUMAN,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),NPC1,Homo sapiens (Human),1278,"TRANSMEM 262..282; /note=""Helical""; /evidence=""ECO:0000269|PubMed:27238017""; TRANSMEM 351..371; /note=""Helical""; /evidence=""ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760""; TRANSMEM 621..641; /note=""Helical""; /evidence=""ECO:0000269|PubMed:27238017, ECO:0000269|PubMed:28784760""; TRANSMEM 654..675; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 686..706; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 731..751; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 760..783; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 833..853; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 1098..1118; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 1125..1145; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 1151..1171; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 1195..1215; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760""; TRANSMEM 1224..1244; /note=""Helical""; /evidence=""ECO:0000269|PubMed:28784760"""
O15120,reviewed,PLCB_HUMAN,1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta),AGPAT2,Homo sapiens (Human),278,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 122..142; /note=""Helical""; /evidence=""ECO:0000255"""
O15121,reviewed,DEGS1_HUMAN,Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Membrane lipid desaturase) (Retinol isomerase) (EC 5.2.1.-),DEGS1 DES1 MLD MIG15,Homo sapiens (Human),323,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 68..88; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 102..122; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 152..172; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 184..204; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255"""
O15126,reviewed,SCAM1_HUMAN,Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1),SCAMP1 SCAMP,Homo sapiens (Human),338,"TRANSMEM 156..176; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 219..239; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 262..282; /note=""Helical""; /evidence=""ECO:0000255"""
O15127,reviewed,SCAM2_HUMAN,Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2),SCAMP2,Homo sapiens (Human),329,"TRANSMEM 154..174; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 219..239; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 263..283; /note=""Helical""; /evidence=""ECO:0000255"""
O15146,reviewed,MUSK_HUMAN,"Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)",MUSK,Homo sapiens (Human),869,"TRANSMEM 496..516; /note=""Helical""; /evidence=""ECO:0000255"""
O15155,reviewed,BET1_HUMAN,BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18),BET1,Homo sapiens (Human),118,"TRANSMEM 95..115; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
O15162,reviewed,PLS1_HUMAN,Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b),PLSCR1,Homo sapiens (Human),318,"TRANSMEM 289..305; /note=""Helical""; /evidence=""ECO:0000269|PubMed:23590222"""
O15165,reviewed,LRAD4_HUMAN,Low-density lipoprotein receptor class A domain-containing protein 4,LDLRAD4 C18orf1,Homo sapiens (Human),306,"TRANSMEM 65..85; /note=""Helical""; /evidence=""ECO:0000255"""
O15173,reviewed,PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),PGRMC2 DG6 PMBP,Homo sapiens (Human),223,"TRANSMEM 42..66; /note=""Helical""; /evidence=""ECO:0000255"""
O15197,reviewed,EPHB6_HUMAN,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),EPHB6,Homo sapiens (Human),1021,"TRANSMEM 595..615; /note=""Helical""; /evidence=""ECO:0000255"""
O15229,reviewed,KMO_HUMAN,Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase),KMO,Homo sapiens (Human),486,"TRANSMEM 385..404; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03018""; TRANSMEM 425..445; /note=""Helical""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03018"""
O15239,reviewed,NDUA1_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit),NDUFA1,Homo sapiens (Human),70,"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255"""
O15243,reviewed,OBRG_HUMAN,Leptin receptor gene-related protein (Endospanin-1) (Leptin receptor overlapping transcript protein) (OB-R gene-related protein) (OB-RGRP),LEPROT LEPR OBR,Homo sapiens (Human),131,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 32..52; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 69..89; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255"""
O15244,reviewed,S22A2_HUMAN,Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2),SLC22A2 OCT2,Homo sapiens (Human),555,"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 178..198; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 239..259; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 264..284; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 349..369; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 376..396; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 415..435; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 442..462; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 465..485; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 495..515; /note=""Helical""; /evidence=""ECO:0000255"""
O15245,reviewed,S22A1_HUMAN,Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1),SLC22A1 OCT1,Homo sapiens (Human),554,"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 177..197; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 207..229; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 236..256; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 263..283; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 348..368; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 377..397; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 403..423; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 432..452; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 465..485; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 493..513; /note=""Helical""; /evidence=""ECO:0000255"""
O15247,reviewed,CLIC2_HUMAN,Chloride intracellular channel protein 2 (XAP121),CLIC2,Homo sapiens (Human),247,"TRANSMEM 32..52; /note=""Helical; Note=After insertion into the membrane""; /evidence=""ECO:0000255"""
O15258,reviewed,RER1_HUMAN,Protein RER1,RER1,Homo sapiens (Human),196,"TRANSMEM 41..61; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 63..83; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255"""
O15260,reviewed,SURF4_HUMAN,Surfeit locus protein 4,SURF4 SURF-4,Homo sapiens (Human),269,"TRANSMEM 64..84; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 92..112; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 203..223; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 239..259; /note=""Helical""; /evidence=""ECO:0000255"""
O15269,reviewed,SPTC1_HUMAN,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),SPTLC1 LCB1,Homo sapiens (Human),473,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255"""
O15270,reviewed,SPTC2_HUMAN,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),SPTLC2 KIAA0526 LCB2,Homo sapiens (Human),562,"TRANSMEM 67..87; /note=""Helical""; /evidence=""ECO:0000255"""
O15303,reviewed,GRM6_HUMAN,Metabotropic glutamate receptor 6 (mGluR6),GRM6 GPRC1F MGLUR6,Homo sapiens (Human),877,"TRANSMEM 586..608; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 623..643; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 655..673; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 698..718; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 749..770; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 784..806; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 820..845; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
O15342,reviewed,VA0E1_HUMAN,V-type proton ATPase subunit e 1 (V-ATPase subunit e 1) (V-ATPase 9.2 kDa membrane accessory protein) (V-ATPase M9.2 subunit) (Vacuolar proton pump subunit e 1),ATP6V0E1 ATP6H ATP6V0E,Homo sapiens (Human),81,"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 36..56; /note=""Helical""; /evidence=""ECO:0000255"""
