PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.Quantity,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.Quantity,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.Quantity,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.Quantity,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.Quantity,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.Quantity,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.Quantity,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.Quantity,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.Quantity,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.Quantity,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.Quantity,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.Quantity,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.Quantity,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.Quantity,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.Quantity,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.Quantity,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.Quantity,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.Quantity,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.Quantity,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.Quantity,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.Quantity,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.Quantity,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.Quantity,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.Quantity,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.Quantity,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.Quantity,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.Quantity
O75608,LYPLA1,Acyl-protein thioesterase 1,O75608,LYPA1_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20278.04296875,21053.919921875,21322.591796875,21536.712890625,20423.9609375,20582.6875,18662.810546875,29044.986328125,32489.5078125,31500.1640625,27990.515625,29940.34375,28784.314453125,29337.9921875,27376.443359375,29724.6328125,29066.419921875,29710.494140625,30726.138671875,23629.8125,27909.951171875,25579.7109375,27695.951171875,27766.646484375,27702.75,27035.603515625,28076.78125,24706.47265625,26618.044921875,27199.517578125,26613.869140625
O75636,FCN3,Ficolin-3,O75636,FCN3_HUMAN,6,6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,3,4,5,4,3,6,5,6,6,6,27814.26953125,31695.705078125,25766.64453125,28618.50390625,29552.9375,27741.529296875,36579.79296875,28639.04296875,33135.0859375,28263.162109375,30672.48046875,26122.7578125,32995.8203125,29423.02734375,31212.794921875,28251.15234375,26013.576171875,27833.35546875,27557.08203125,45455.58203125,37586.97265625,9730.0576171875,11870.107421875,11966.5009765625,11701.1455078125,11754.9658203125,15574.5322265625,11759.4013671875,24397.75,22362.412109375,24452.88671875
O75663,TIPRL,TIP41-like protein,O75663,TIPRL_HUMAN,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1217.587890625,NaN,2474.193359375,2450.944580078125,2381.35498046875,1707.076904296875,1497.2066650390625,1703.22021484375,NaN,1912.5587158203125,2379.26513671875,1391.9493408203125,1722.8076171875,2078.225341796875,1942.8946533203125,1732.836669921875,1746.4659423828125,1621.9420166015625,1951.652099609375,1813.0875244140625,1870.891357421875,1376.328125,1350.275634765625,1617.5662841796875,1451.748046875,1753.3438720703125,2089.666748046875,2122.749267578125,1722.33154296875,2018.0069580078125,1568.1639404296875
O75688,PPM1B,Protein phosphatase 1B,O75688,PPM1B_HUMAN,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14606.25390625,27375.01953125,17391.384765625,12098.4375,15719.005859375,16017.9853515625,21732.927734375,26132.2265625,30485.736328125,23253.3203125,25210.765625,26034.67578125,22999.283203125,23616.107421875,17734.4140625,20657.322265625,21621.90234375,19974.79296875,17047.845703125,18202.96484375,18621.05859375,15643.0830078125,15008.9892578125,14862.857421875,20584.40625,17549.443359375,17600.017578125,18049.83984375,18431.0546875,15384.7666015625,16657.849609375
O75695,RP2,Protein XRP2,O75695,XRP2_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2102.57080078125,2278.461669921875,2647.177978515625,2634.0322265625,2490.173828125,2240.53857421875,2012.87646484375,2555.626708984375,1298.9852294921875,2436.473876953125,2619.843017578125,2458.97705078125,2517.312255859375,2252.826904296875,1898.8126220703125,1754.726318359375,2267.892333984375,2664.070068359375,2602.989990234375,2468.23681640625,1930.86279296875,2466.12451171875,2253.286376953125,1603.0738525390625,2126.65771484375,2270.798828125,2313.2119140625,1475.8428955078125,3155.68994140625,1620.2667236328125,1491.8253173828125
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,O75822,EIF3J_HUMAN,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,1,17344.94921875,17218.857421875,14541.802734375,21861.619140625,24817.66796875,25888.828125,23533.732421875,22728.103515625,17906.806640625,16390.005859375,11806.0986328125,18834.275390625,16568.6328125,16705.82421875,14828.7978515625,19859.310546875,17771.16796875,17199.498046875,429252.875,15448.2041015625,NaN,34887.18359375,30662.974609375,21197.42578125,22130.8984375,21063.48046875,30621.341796875,24190.48046875,18586.66796875,27445.958984375,17919.361328125
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10,O75832,PSD10_HUMAN,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,40381.15234375,29763.6015625,40423.296875,42453.34375,43307.78125,41944.234375,41735.703125,42627.23046875,31152.529296875,42658.1640625,41521.046875,43518.45703125,42181.76171875,43263.8828125,44697.55859375,46400.4921875,46800.34375,46862.5,44584.8984375,41661.95703125,43448.53125,44942.36328125,42962.421875,44687.02734375,47937.11328125,50615.9921875,47907.33984375,46607.32421875,43921.046875,44085.25390625,45216.38671875
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,IDHC_HUMAN,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,8,8,7,8,7,7,4,6,6,7,7,8,8,8,31365.732421875,27268.3046875,29712.37890625,29315.619140625,27315.443359375,26540.72265625,27926.732421875,21772.154296875,21141.39453125,21252.9296875,17555.830078125,20720.525390625,20633.845703125,21766.5,30640.41796875,27826.2421875,30103.841796875,31437.40625,28052.24609375,31086.83984375,31866.05859375,13076.8349609375,14073.8271484375,17094.533203125,10198.26171875,9981.1611328125,14659.24609375,14713.400390625,21997.56640625,23436.466796875,21417.505859375
O75882,ATRN,Attractin,O75882,ATRN_HUMAN,12,9,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,13,12,12,13,12,12,12,12,12,12,12,26066.765625,16316.57421875,26235.83203125,28431.9609375,31234.96875,28746.431640625,31288.88671875,31890.724609375,19744.42578125,30569.45703125,29683.822265625,30300.53515625,33880.22265625,31469.533203125,27572.095703125,29224.822265625,27052.787109375,28521.70703125,28026.181640625,36189.94921875,32215.697265625,24580.92578125,24262.361328125,27388.12890625,27394.0703125,23482.7421875,25656.529296875,29865.220703125,27859.833984375,28061.9140625,28188.166015625
O75955,FLOT1,Flotillin-1,O75955,FLOT1_HUMAN,19,20,21,20,21,21,21,21,18,21,21,21,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,81531.5703125,98093.53125,90212.671875,89618.125,85308.2734375,87274.6171875,85854.1796875,93336.34375,118047.0625,100874.1640625,92569.171875,91115.25,101098.328125,94630.6875,95334.46875,97446.125,95910.8046875,95451.28125,87865.4453125,98084.046875,96554.484375,111361.109375,113705.203125,113240.015625,115051.9375,109754.1328125,116735.40625,101106.484375,93745.6328125,96059.2578125,96890.1796875
O76003,GLRX3,Glutaredoxin-3,O76003,GLRX3_HUMAN,12,11,12,12,12,12,12,11,10,12,11,12,12,12,12,11,12,12,12,12,12,12,12,11,11,12,12,12,12,12,12,74489.9375,78055.515625,76571.640625,74447.2578125,70109.390625,70009.921875,73747.40625,76449.015625,78593.703125,72378.1953125,75013.859375,68489.7109375,66656.890625,68038.1640625,68472.6171875,64113.9296875,65000.5,68279.828125,67895.0390625,61334.44140625,61099.78515625,83230.484375,77057.7734375,76756.5703125,79928.5625,81700.734375,86622.53125,75125.0546875,72574.4453125,75916.8984375,72031.1328125
O76054,SEC14L2,SEC14-like protein 2,O76054,S14L2_HUMAN,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5242.09228515625,4239.5283203125,4611.1787109375,4894.986328125,4320.212890625,5583.7763671875,5529.3896484375,5428.77294921875,4860.62451171875,5857.001953125,5653.8486328125,5438.953125,5928.68017578125,5765.09423828125,6659.283203125,6435.54443359375,6738.51904296875,6212.83349609375,6258.8203125,6249.4462890625,6205.17041015625,7215.79345703125,7339.927734375,6941.38037109375,8464.939453125,7923.37939453125,8539.1328125,6627.80078125,6099.91015625,5523.53466796875,6567.529296875
O76075,DFFB,DNA fragmentation factor subunit beta,O76075,DFFB_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54361.25390625,68196.4765625,43522.4296875,55582.78125,58118.66796875,64360.9765625,63052.83203125,64363.21875,90814.15625,60969.37890625,71451.875,78417.078125,86639.203125,94256.5546875,67902.2109375,63031.75,62958.33203125,78533.625,77348.71875,84298.890625,84669.90625,64468.03515625,58450.3203125,58414.48046875,64223.8515625,74326.984375,75769.890625,86502.7890625,61905.22265625,60807.3828125,67775.046875
O94903,PLPBP,Pyridoxal phosphate homeostasis protein,O94903,PLPHP_HUMAN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,11489.4345703125,11028.833984375,10980.7197265625,9973.7109375,10117.130859375,10063.099609375,10437.2626953125,8150.90478515625,8455.9453125,7430.7783203125,8046.09326171875,7555.5419921875,8157.443359375,7564.7275390625,7613.9130859375,7654.9638671875,7534.7900390625,7015.8896484375,7366.5380859375,6693.052734375,6539.90576171875,7366.697265625,7507.09716796875,6827.9482421875,7034.767578125,8120.20947265625,7697.3662109375,6731.642578125,8493.8056640625,9926.384765625,7259.41845703125
O94919,ENDOD1,Endonuclease domain-containing 1 protein,O94919,ENDD1_HUMAN,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11179.177734375,14612.71875,13695.6240234375,11389.12109375,11921.8095703125,10973.2734375,12040.1533203125,17352.572265625,19459.71484375,17915.529296875,16719.37109375,18260.015625,18587.390625,16476.998046875,14842.09765625,16690.26171875,15605.7763671875,16284.560546875,15202.5927734375,15069.583984375,15091.2626953125,13082.8681640625,14275.673828125,13420.0263671875,12284.0732421875,13699.9658203125,12818.525390625,13187.4931640625,12710.0966796875,14335.42578125,12971.3056640625
O94941,UBOX5,RING finger protein 37,O94941,RNF37_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57323.46875,55020.1875,54931.40234375,57698.5546875,60855.7734375,57251.015625,62170.3125,52952.1640625,49583.1875,50760.97265625,54122.2578125,55670.0859375,53817.484375,55360.51953125,30432.125,29476.486328125,29561.283203125,29027.96484375,30335.919921875,34801.83203125,31904.970703125,27727.384765625,28299.681640625,30149.541015625,30876.869140625,29917.109375,29644.845703125,33300.25,41036.421875,42214.0625,43698.2578125
O95197,RTN3,Reticulon-3,O95197,RTN3_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46714.0078125,62475.8125,62611.890625,61242.8359375,69582.7421875,70673.1328125,59969.62109375,50281.953125,75419.21875,64294.5,75489.953125,75237.03125,66073.3671875,83544.765625,46259.6875,63315.22265625,66882.6640625,66967.6484375,72694.5234375,63516.62109375,81718.0234375,49516.1640625,73454.09375,70644.25,73328.9765625,68668.3515625,68568.34375,94111.9296875,75284.0625,79362.1953125,78110.2734375
O95336,PGLS,6-phosphogluconolactonase,O95336,6PGL_HUMAN,11,12,12,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,84409.96875,86727.40625,88007.578125,84680.765625,81035.5234375,80424.6953125,85653.6484375,90025.1796875,96746.125,87823.515625,87969.375,89608.2109375,87685.828125,85015.6328125,100012.625,100819.4921875,98104.7734375,100390.0390625,103501.8671875,93767.109375,97308.1015625,100902.6015625,101619.890625,97953.234375,99027.34375,101144.4140625,110231.1328125,101406.171875,92937.125,92637.0078125,92520.21875
O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,O95352,ATG7_HUMAN,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4379.267578125,2172.904541015625,2090.0419921875,3862.590087890625,2179.75537109375,3823.798828125,1879.539306640625,1881.7471923828125,3537.446044921875,1758.8284912109375,5208.78173828125,2272.487060546875,2490.560546875,3660.40478515625,3465.330322265625,7776.55322265625,3714.6064453125,6884.99365234375,5736.0263671875,6072.55517578125,4393.0283203125,3609.617919921875,3646.7265625,3913.052001953125,4289.640625,5297.8017578125,2704.936767578125,3621.911865234375,6057.51171875,4914.68994140625,5224.76318359375
O95373,IPO7,Importin-7,O95373,IPO7_HUMAN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13429.48828125,13576.3095703125,12200.8154296875,11686.7431640625,11122.6171875,9346.9716796875,11292.439453125,13091.431640625,13717.873046875,13438.3369140625,12682.8603515625,12747.56640625,11680.447265625,10459.1318359375,16625.306640625,14838.2099609375,15261.498046875,13308.3212890625,13799.0732421875,12606.2578125,9914.0595703125,12173.64453125,9902.205078125,11476.55859375,11704.3828125,10877.34375,10259.552734375,8810.255859375,12936.4599609375,12467.802734375,11816.6494140625
O95445,APOM,Apolipoprotein M,O95445,APOM_HUMAN,10,9,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,115143.65625,44395.2734375,116458.0859375,123425.296875,144134.921875,128979.1171875,128598.2421875,171307.34375,92331.0078125,153964.984375,177203.4375,168386.203125,165912.40625,176588.015625,156134.53125,158081.40625,154905.84375,154546.953125,165194.359375,189844.140625,189005.546875,121748.3828125,127442.0859375,132584.09375,124298.5234375,122430.640625,110891.1875,153568.1875,143363.171875,147890.0625,149191.109375
O95456,PSMG1,Proteasome assembly chaperone 1,O95456,PSMG1_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11592.181640625,10208.986328125,7022.69873046875,9390.0517578125,11694.5029296875,9436.998046875,9668.541015625,3135.29345703125,8045.32861328125,4092.69140625,2577.242431640625,2648.43310546875,3877.75390625,9624.93359375,5503.15673828125,7071.3154296875,5110.6806640625,4901.458984375,5377.107421875,14489.4189453125,8872.71484375,7111.42431640625,6612.048828125,13832.16796875,4655.71533203125,9229.89453125,2594.393310546875,10459.7373046875,7796.4853515625,10992.9658203125,7573.3935546875
O95497,VNN1,Pantetheinase,O95497,VNN1_HUMAN,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,391.7808837890625,NaN,NaN,857.6959838867188,532.7332763671875,496.5888671875,NaN,2745.505859375,2827.0400390625,3261.0849609375,1962.0609130859375,2686.125,3209.533935546875,3453.888916015625,2057.5224609375,2092.02294921875,2293.70654296875,1467.5174560546875,1378.808837890625,2466.936279296875,2510.269775390625,NaN,NaN,52.534996032714844,NaN,396.64764404296875,NaN,NaN,1724.236572265625,661.5095825195312,1381.59912109375
O95522,PRAMEF12,PRAME family member 12,O95522,PRA12_HUMAN,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138056.203125,NaN,138574.140625,140613.71875,139449.96875,143943.578125,144340.609375,145417.703125,99224.9453125,152764.140625,174951.390625,174247.21875,197019.59375,155535.25,195370.03125,185131.375,188439,210254.984375,235304.015625,207659.59375,192261.265625,178320.515625,189426.046875,193817.40625,184260.671875,231461.015625,223035.703125,189939.90625,169887.375,192731.671875,218067.828125
O95630,STAMBP,STAM-binding protein,O95630,STABP_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3488.85986328125,3029.069091796875,3852.8193359375,3610.94921875,4090.1669921875,3539.276123046875,3483.092529296875,3155.083251953125,2739.82080078125,3593.17529296875,3325.671630859375,3807.5537109375,3170.9287109375,3011.7861328125,3314.280517578125,3417.27978515625,3634.242919921875,3366.017578125,3561.272216796875,2744.94580078125,1704.8460693359375,3844.129638671875,3901.18310546875,3338.818115234375,3881.520263671875,3789.419921875,3883.631591796875,3527.270263671875,3560.340087890625,3336.599609375,3482.4560546875
O95747,OXSR1,Serine/threonine-protein kinase OSR1,O95747,OXSR1_HUMAN,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,42595.84765625,42554.03125,41115.5,39308.1328125,39157.19140625,36205.0390625,40496.6328125,50996.42578125,53004.57421875,50724.86328125,50828.6484375,49527.69921875,49536.828125,46905.19921875,37503.03125,36478.10546875,35324.7578125,36795.32421875,34020.86328125,31552.63671875,31834.4140625,54795.40234375,50444.9609375,50687.6875,50171.1875,52561.99609375,53447.64453125,48035.6796875,43126.0234375,43725.5546875,45304.625
O95782,AP2A1,AP-2 complex subunit alpha-1,O95782,AP2A1_HUMAN,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,4,6,5,6,6,6,6,6,17697.818359375,19475.615234375,17517.88671875,18141.974609375,15852.365234375,17712.998046875,17102.275390625,16898.267578125,17333.775390625,15938.6005859375,16140.896484375,16494.830078125,15097.515625,16016.861328125,16344.541015625,14728.365234375,14530.9814453125,14822.71484375,13710.4375,14680.6826171875,12068.8466796875,9965.544921875,11644.5126953125,11759.498046875,11323.0888671875,10750.1162109375,12781.7626953125,12612.8037109375,15867.19921875,15391.19921875,14940.578125
O95810,CAVIN2,Caveolae-associated protein 2,O95810,CAVN2_HUMAN,5,6,8,7,7,6,8,7,7,8,8,7,7,8,4,6,6,6,7,4,6,8,8,8,8,8,7,8,8,7,8,2576.55029296875,6887.796875,7363.3095703125,7151.19873046875,6640.0576171875,4820.66650390625,4934.44287109375,5211.1865234375,10901.857421875,11344.44140625,10233.6201171875,10404.7431640625,6638.13330078125,8202.2548828125,3021.60888671875,6715.470703125,6786.6181640625,5175.91748046875,4893.3623046875,4375.5771484375,4986.66162109375,6197.04296875,13049.2275390625,15197.03515625,10680.9560546875,11633.591796875,7551.07958984375,10432.0498046875,7821.609375,7676.0048828125,8286.337890625
O95861,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1",O95861,BPNT1_HUMAN,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,NaN,1629.5162353515625,2267.793212890625,2602.832275390625,NaN,2627.42333984375,2922.73876953125,NaN,4134.435546875,2644.7099609375,2550.31689453125,2694.718017578125,2924.365966796875,2718.15771484375,2959.7158203125,1731.4984130859375,2548.32177734375,1883.6602783203125,NaN,NaN,NaN,2826.203857421875,NaN,2252.721435546875,2731.82666015625,3132.259765625,2578.654296875,2008.2216796875,2689.03076171875,1423.7230224609375,2332.163818359375
O95866,MPIG6B,Megakaryocyte and platelet inhibitory receptor G6b,O95866,G6B_HUMAN,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,231.7664031982422,364.4544372558594,336.0063781738281,87.86322784423828,114.37312316894531,278.50238037109375,580.9450073242188,1136.7587890625,2240.241455078125,1727.27587890625,1072.394775390625,725.585693359375,1620.98388671875,367.9433288574219,720.53759765625,945.346923828125,396.5260925292969,1.8617175817489624,347.94195556640625,853.1268310546875,224.80322265625,1296.67724609375,1737.0784912109375,765.3233642578125,1153.171875,81.36231231689453,1636.099853515625,1271.3663330078125,222.81329345703125,923.5047607421875
P00001,,concatemer,P00001,variant,62,65,63,60,66,63,63,65,68,69,67,67,68,68,71,73,69,70,73,73,74,76,77,77,73,74,73,76,84,86,86,3093814.25,2767122,2972473.5,3173387.5,3255337,3001954,3157584.5,2770045.75,2549274,2633482,2917945.75,2700114,2732933,2819544.75,2469919,2511273.5,2420900,2525650,2555519.25,2935556.5,2760603,2458584,2380312.5,2557800.5,2603202.25,2370985.75,2388580.5,2645499.25,2627457.5,2605080,2620487.5
P00167,CYB5A,Cytochrome b5,P00167,CYB5_HUMAN,8,8,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,39852.9453125,44280.59375,42000.80078125,40278.70703125,40745.62109375,42858.48046875,40179.41796875,47753.08203125,50067.9296875,50011.24609375,48002.2734375,49586.89453125,50901.44921875,49078.0859375,43449.97265625,41619.47265625,44636.9765625,42669.46875,44546.18359375,42813.5078125,42760.171875,50592.5234375,51615.0703125,49653.89453125,50871.2265625,53405.8203125,51249.9375,49558.2890625,44756.46484375,44003.26953125,46705.4921875
P00338,LDHA,L-lactate dehydrogenase A chain,P00338,LDHA_HUMAN,15,15,15,15,15,16,15,15,16,16,15,15,16,15,15,15,15,16,15,15,15,15,16,14,15,16,16,16,15,15,15,174631.140625,189810.046875,171640.046875,164785.1875,166439.5,171574.125,169838.46875,185235.546875,224464.65625,198434.609375,189293.609375,187447.8125,190423.859375,190909.75,171857.21875,178763.5625,183189.890625,185342.15625,181515.8125,187240.4375,175735.328125,171290.953125,174001.28125,172098.4375,169722.28125,166952,181204.34375,166094.890625,184786.703125,179193.5625,180092.6875
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,P00352,AL1A1_HUMAN,35,35,34,35,35,34,34,35,34,34,35,34,35,35,35,35,34,35,35,35,34,35,35,35,35,34,34,35,35,35,34,308928.53125,319183.125,313609.1875,316197.46875,313612.0625,320551.0625,319099.1875,313381.4375,305503.21875,311294.875,302223.28125,309141.84375,314759.25,300106.78125,346811.875,344054.1875,345509.1875,344635.1875,336705.875,330523.34375,338691.28125,316868.0625,315441.5,299185.5,310528.78125,312848.03125,320640.5,303100.15625,315293.1875,313930.96875,309146.5
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,P00387,NB5R3_HUMAN,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15411.1318359375,18085.076171875,14834.57421875,15753.87109375,14475.556640625,13875.4140625,14781.619140625,16869.3515625,19460.630859375,20517.015625,18903.6953125,20248.03125,17360.1171875,16530.71484375,12636.224609375,13470.400390625,13151.216796875,13612.3857421875,11541.8603515625,10757.0107421875,10935.1005859375,14273.8671875,16054.2001953125,16977.2265625,16662.1953125,16347.8046875,15575.7080078125,15587.4619140625,15626.5029296875,16053.564453125,16093.1474609375
P00390,GSR,"Glutathione reductase, mitochondrial",P00390,GSHR_HUMAN,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,56298.23828125,53907.73828125,52244.25,57843.65234375,61840.87890625,60806.67578125,59014.33984375,52448.515625,49514.64453125,48392.11328125,53533.3515625,59321.55078125,64315.87109375,62304.05859375,50394.8828125,47006.140625,47525.71875,50479.26953125,53095.28125,56708.91796875,60746.34765625,46165.734375,44784.4296875,41453.8984375,46527.3125,47375.609375,56373.66796875,55059.0546875,53202.390625,48342.48828125,52920.28125
